name,id,principal,agent,date formed,status,type,street,city,state,zip
"1-800-LAW-FIRM OF CONNECTICUT, LLC",1093136,"1-800-LAW-FIRM, PLLC",BUSINESS FILINGS INCORPORATED,12/24/2012,Dissolved,Domestic Limited Liability Company,"26700 LAHSER RD, STE 400",SOUTHFIELD,MI,48033
"1818 LAW, PLLC",1294461,DANIELLE EDWARDS,DANIELLE EDWARDS,01/01/2019,Active,Domestic Limited Liability Company,"1700 BEDFORD STREET, SUITE 204",STAMFORD,CT,6905
"68 NORTH LAW, LLC",1288445,"TUNNARD, JENNIFER",JENNIFER J. TUNNARD,10/22/2018,Active,Domestic Limited Liability Company,68 NORTH STREET,DANBURY,CT,6810
"ABH SPACE LAW, LLC",1269192,MICHELLE HANLON,MICHELLE HANLON,04/05/2018,Active,Domestic Limited Liability Company,"110 SLEEPY HOLLOW ROAD, 110 SLEEPY HOLLOW ROAD",NEW CANAAN,CT,6840
ACADEMY LAW  OFFICES LLC,1229920,THOMAS DUPONT,THOMAS E. DUPONT,02/14/2017,Active,Domestic Limited Liability Company,35 ACADEMY STREET,DANIELSON,CT,6239
ACCEL LAW GROUP P.C.,1139880,"CHARLES R. WELSH, MICHAEL T. GRIFFIN",CHARLES R. WELSH,07/31/2014,Active,Domestic Stock Corporation,"65 LASALLE ROAD, SUITE 400",WEST HARTFORD,CT,6107
"ACP LAW FIRM, LLC",1000704,CHERRON M PAYNE,CHERRON M. PAYNE,03/31/2010,Active,Domestic Limited Liability Company,"222 MAIN STREET, SUITE 262",FARMINGTON,CT,6032
"ACTION LAW GROUP, LLC",1192058,JOSEPH AMETRANO,JOSEPH AMETRANO,12/01/2015,Active,Domestic Limited Liability Company,112 HEMINGWAY AVE,EAST HAVEN,CT,6512
ADAMS LAW GROUP LLC,1194602,BENJAMIN ADAMS,SECRETARY OF THE STATE OF CONNECTICUT,01/08/2016,Active,Foreign Limited Liability Company,"145 MAIN STREET, SECOND FLOOR",NYACK,NY,10960
ADAMS LAW OFFICE LLC,1259394,STEPHEN J. ADAMS,STEPHEN J. ADAMS,01/03/2018,Dissolved,Domestic Limited Liability Company,158 MAIN STREET,PUTNAM,CT,6260
ADAPT LAW PLLC,1254709,MICHAEL J. KACZYNSKI,"MICHAEL JACK KACZYNSKI, ESQ.",11/03/2017,Active,Domestic Limited Liability Company,2470 BOSTON POST RD UNIT 3,GUILFORD,CT,6437
"ADEBAYO LAW, LLC",1048531,BABATUNDE A. ADEBAYO,BABATUNDE ADEBAYO,09/14/2011,Active,Domestic Limited Liability Company,652 CENTER STREET,MANCHESTER,CT,6040
ADELMAN LAW OFFICE LLC,1326810,DANIEL ADELMAN,DANIEL W. ADELMAN,11/06/2019,Active,Domestic Limited Liability Company,"195 CHURCH STREET, 9TH FLOOR",NEW HAVEN,CT,6510
"ADELMAN LAW OFFICE, P.C.",1040902,"DANIEL W. ADELMAN, DANIEL W. ADELMAN, ESQUIRE","DANIEL W. ADELMAN, ESQUIRE",06/14/2011,Dissolved,Domestic Stock Corporation,27 ELM STREET,NEW HAVEN,CT,6510
